Metric,Value
Accuracy,0.7774033743600658
Precision,0.4149720449260304
Recall,0.33813776281573166
F1-Score,0.372635484121783
AUC-ROC,0.7163598779168681
Avg Precision,0.3756775917507207
Optimal Threshold,0.45000000000000007
F1 at Optimal Threshold,0.4263590176662081
