Status,Count,Avg_Loan_Amount,Avg_Interest_Rate,Avg_Annual_Income,Avg_DTI
Fully_Paid,1020650,14283.452236319992,12.623528349581148,79196.70063326313,17.675196208298633
Defaulted,248035,15857.501864656198,15.749588485495995,72432.47577281433,19.96356836736751
